<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150605,000000,1182.3,1183.8,1172.4,1175,129212
20150606,000000,1174.9,1176.1,1162.1,1171.8,112112
20150608,000000,1170.8,1177.1,1168.5,1173.6,42650
20150609,000000,1173.5,1181,1168.5,1179.5,83052
20150610,000000,1179.5,1184.9,1174.3,1183,91425
20150611,000000,1183.1,1191.8,1182.2,1182.6,99524
20150612,000000,1182.6,1184.7,1174.8,1178.7,98598
20150613,000000,1178.7,1182.8,1175.6,1180.8,56358
20150615,000000,1180,1185.9,1176.1,1178,27780
20150616,000000,1177.9,1190.2,1171.9,1182.7,118205
20150617,000000,1182.7,1184.3,1175.4,1178.8,83994
20150618,000000,1178.8,1197.5,1173.9,1195.6,121000
20150619,000000,1195.7,1205.7,1194.4,1199.5,149352
20150620,000000,1199.4,1204,1198.3,1199.8,56084
20150622,000000,1199.7,1200.8,1192.9,1195.7,22786
20150623,000000,1195.7,1195.9,1181.3,1183,116725
20150624,000000,1183,1184.7,1172.8,1175.9,109144
20150625,000000,1175.9,1179.7,1168.1,1174,99501
20150626,000000,1173.9,1178,1169.3,1177.3,84732
20150627,000000,1177.3,1177.5,1167.1,1173.7,65731
20150629,000000,1182.5,1187.6,1176.5,1177.9,50171
20150630,000000,1177.9,1183.5,1173.2,1176.4,102167
20150701,000000,1176.5,1178.4,1165.6,1172,130921
20150702,000000,1172,1172.8,1160.1,1164.5,95326
20150703,000000,1164.5,1169.3,1155.8,1167.8,107926
20150704,000000,1167.9,1169,1165,1167.8,17768
20150706,000000,1163.5,1174.4,1162.3,1163.9,32841
20150707,000000,1163.9,1173.7,1161.9,1166.4,79283
20150708,000000,1166.4,1167.3,1145.9,1151.3,210791
20150709,000000,1151.3,1165.7,1150.8,1162.7,133984
20150710,000000,1162.7,1166.9,1156.4,1161.7,97782
20150711,000000,1161.8,1164.5,1157.1,1162.3,67769
20150713,000000,1162.3,1163.9,1152.4,1153.6,33658
20150714,000000,1153.7,1158.2,1149.8,1153,85242
20150715,000000,1153,1159.1,1151.8,1154.1,56362
20150716,000000,1154.1,1154.8,1141.9,1144.1,128436
20150717,000000,1144.2,1146.5,1140.6,1142.7,87264
20150718,000000,1142.7,1143.4,1129.6,1132.3,109437
20150720,000000,1132.4,1132.5,1080,1114.3,95773
20150721,000000,1114.2,1114.9,1093.3,1106.7,171854
20150722,000000,1106.7,1108.8,1090.3,1093.1,143268
20150723,000000,1093.1,1104.9,1085.6,1103.3,140422
20150724,000000,1103.5,1103.6,1072.3,1083,151525
20150725,000000,1083,1100.9,1076.4,1098.5,134867
20150727,000000,1098.6,1104.4,1093.6,1101.6,41514
20150728,000000,1101.6,1101.7,1087.7,1094.8,131404
20150729,000000,1094.9,1098.5,1090.7,1096.2,86610
20150730,000000,1096.2,1100.9,1081,1084.4,80260
20150731,000000,1084.5,1094.7,1079.8,1081.2,47062
20150801,000000,1081.2,1103,1079.2,1095,126828
20150803,000000,1095.1,1098,1091.3,1092.8,30592
20150804,000000,1092.8,1093.6,1080.2,1090.4,107409
20150805,000000,1090.4,1094.4,1083.3,1084.8,95876
20150806,000000,1084.8,1091.7,1082,1084.2,97223
20150807,000000,1084.1,1096.9,1083.5,1091.2,98851
20150808,000000,1091.2,1098.9,1081.4,1093.3,131767
20150810,000000,1094,1097.9,1089,1094.3,25832
20150811,000000,1094.3,1119.1,1093,1112.4,206410
20150812,000000,1112.4,1119.4,1101.1,1116.1,163374
20150813,000000,1116.1,1126.3,1114.3,1117.5,155300
20150814,000000,1117.3,1118,1111.6,1116.1,103062
20150815,000000,1116.2,1120.4,1111.1,1113.2,71731
20150817,000000,1113.5,1119.3,1112.9,1116.7,24494
20150818,000000,1116.7,1122.2,1115.3,1119.1,87878
20150819,000000,1119.2,1123.7,1108.5,1121.8,118465
